id,date,type,aka,finder,city,state,latitude,longitude,ref,icon
100001,9/18/2019,Fomitopsis Pinicola,Larch Polypore,Jarred,Portland,OR,45.587568,-122.793275,mpnw258,rsz_100001
100002,10/6/2019,Amanita Muscaria,Fly Agaric,Jessie,Portland,OR,45.593545,-122.661295,mpnw84,rsz_100002
100003,10/20/2019,Hypholoma Fasciculare,,Billy,Portland,OR,45.588725,-122.791729,mpnw206,rsz_100003
100004,10/13/2019,Lactarius Deliciosus,Saffron Milk Cap,Jarred,Hammond,OR,46.229245,-123.998431,mpnw55,rsz_100004
100005,10/20/2019,Calocera Cornea,,Jarred,Portland,OR,45.587884,-122.792637,mpnw237,rsz_100005
100006,10/27/2019,Xerocomellus Zelleri,Zeller's Bolete,Jarred,Portland,OR,45.588603,-122.799644,mpnw219,rsz_100006
100007,10/2/2019,Corinarius Olympianus,,Jessie,Leavenworth,WA,47.614531,-120.951482,mpnw158,rsz_100007
100008,10/2/2019,Lycoperdon Perlatum,Gem-Studded Puffball,Jessie,Leavenworth,WA,47.626089,-120.964056,mnw232,rsz_100008
100009,10/2/2019,Tubinellus Floccosus,Scaly Vase Chantrelle,Jessie,Leavenworth,WA,47.624127,-120.963222,mnw44,rsz_100009
